x,y,z,valid
-0.25,-0.5,-0.0,False
-0.25,-0.5,0.03,False
-0.25,-0.5,0.06,False
-0.25,-0.5,0.09,False
-0.25,-0.5,0.12,False
-0.25,-0.5,0.15,False
-0.25,-0.5,0.18,False
-0.25,-0.5,0.21,False
-0.25,-0.5,0.24,False
-0.25,-0.5,0.27,False
-0.25,-0.5,0.3,False
-0.25,-0.5,0.33,False
-0.25,-0.5,0.36,False
-0.25,-0.5,0.39,False
-0.25,-0.5,0.42,False
-0.25,-0.5,0.45,False
-0.25,-0.5,0.48,False
-0.25,-0.47,-0.0,False
-0.25,-0.47,0.03,False
-0.25,-0.47,0.06,False
-0.25,-0.47,0.09,False
-0.25,-0.47,0.12,False
-0.25,-0.47,0.15,False
-0.25,-0.47,0.18,False
-0.25,-0.47,0.21,False
-0.25,-0.47,0.24,False
-0.25,-0.47,0.27,False
-0.25,-0.47,0.3,False
-0.25,-0.47,0.33,False
-0.25,-0.47,0.36,False
-0.25,-0.47,0.39,False
-0.25,-0.47,0.42,False
-0.25,-0.47,0.45,False
-0.25,-0.47,0.48,False
-0.25,-0.44,-0.0,False
-0.25,-0.44,0.03,False
-0.25,-0.44,0.06,False
-0.25,-0.44,0.09,False
-0.25,-0.44,0.12,False
-0.25,-0.44,0.15,False
-0.25,-0.44,0.18,False
-0.25,-0.44,0.21,False
-0.25,-0.44,0.24,False
-0.25,-0.44,0.27,False
-0.25,-0.44,0.3,False
-0.25,-0.44,0.33,False
-0.25,-0.44,0.36,False
-0.25,-0.44,0.39,False
-0.25,-0.44,0.42,False
-0.25,-0.44,0.45,False
-0.25,-0.44,0.48,False
-0.25,-0.41,-0.0,False
-0.25,-0.41,0.03,False
-0.25,-0.41,0.06,False
-0.25,-0.41,0.09,False
-0.25,-0.41,0.12,False
-0.25,-0.41,0.15,False
-0.25,-0.41,0.18,False
-0.25,-0.41,0.21,False
-0.25,-0.41,0.24,False
-0.25,-0.41,0.27,False
-0.25,-0.41,0.3,False
-0.25,-0.41,0.33,False
-0.25,-0.41,0.36,False
-0.25,-0.41,0.39,False
-0.25,-0.41,0.42,False
-0.25,-0.41,0.45,False
-0.25,-0.41,0.48,False
-0.25,-0.38,-0.0,False
-0.25,-0.38,0.03,False
-0.25,-0.38,0.06,False
-0.25,-0.38,0.09,False
-0.25,-0.38,0.12,False
-0.25,-0.38,0.15,False
-0.25,-0.38,0.18,False
-0.25,-0.38,0.21,False
-0.25,-0.38,0.24,False
-0.25,-0.38,0.27,False
-0.25,-0.38,0.3,False
-0.25,-0.38,0.33,False
-0.25,-0.38,0.36,False
-0.25,-0.38,0.39,False
-0.25,-0.38,0.42,False
-0.25,-0.38,0.45,False
-0.25,-0.38,0.48,False
-0.25,-0.35,-0.0,False
-0.25,-0.35,0.03,False
-0.25,-0.35,0.06,False
-0.25,-0.35,0.09,False
-0.25,-0.35,0.12,False
-0.25,-0.35,0.15,False
-0.25,-0.35,0.18,False
-0.25,-0.35,0.21,False
-0.25,-0.35,0.24,False
-0.25,-0.35,0.27,False
-0.25,-0.35,0.3,False
-0.25,-0.35,0.33,False
-0.25,-0.35,0.36,False
-0.25,-0.35,0.39,False
-0.25,-0.35,0.42,False
-0.25,-0.35,0.45,False
-0.25,-0.35,0.48,False
-0.25,-0.32,-0.0,False
-0.25,-0.32,0.03,False
-0.25,-0.32,0.06,False
-0.25,-0.32,0.09,True
-0.25,-0.32,0.12,True
-0.25,-0.32,0.15,True
-0.25,-0.32,0.18,True
-0.25,-0.32,0.21,False
-0.25,-0.32,0.24,False
-0.25,-0.32,0.27,False
-0.25,-0.32,0.3,False
-0.25,-0.32,0.33,False
-0.25,-0.32,0.36,False
-0.25,-0.32,0.39,False
-0.25,-0.32,0.42,False
-0.25,-0.32,0.45,False
-0.25,-0.32,0.48,False
-0.25,-0.29,-0.0,False
-0.25,-0.29,0.03,False
-0.25,-0.29,0.06,True
-0.25,-0.29,0.09,True
-0.25,-0.29,0.12,True
-0.25,-0.29,0.15,True
-0.25,-0.29,0.18,True
-0.25,-0.29,0.21,True
-0.25,-0.29,0.24,True
-0.25,-0.29,0.27,False
-0.25,-0.29,0.3,False
-0.25,-0.29,0.33,False
